
lv	            max exp	total exp		
Level	1	=	74	74
Level	2	=	105	179
Level	3	=	150	329
Level	4	=	214	543
Level	5	=	305	848
Level	6	=	436	1284
Level	7	=	623	1907
Level	8	=	890	2797
Level	9	=	1272	4069
Level	10	=	1817	5886
Level	11	=	2595	8481
Level	12	=	3707	12188
Level	13	=	5296	17484
Level	14	=	7566	25050
Level	15	=	10809	35859
Level	16	=	15441	51300
Level	17	=	22059	73359
Level	18	=	31513	104872
Level	19	=	45018	149890
Level	20	=	64312	214202
Level	21	=	91874	306076
Level	22	=	98577	404653
Level	23	=	105769	510422
Level	24	=	113486	623908
Level	25	=	121766	745674
Level	26	=	130650	876324
Level	27	=	140182	1016506
Level	28	=	150410	1166916
Level	29	=	161384	1328300
Level	30	=	173159	1501459
Level	31	=	185793	1687252
Level	32	=	199349	1886601
Level	33	=	213894	2100495
Level	34	=	229500	2329995
Level	35	=	246245	2576240
Level	36	=	264211	2840451
Level	37	=	283488	3123939
Level	38	=	304172	3428111
Level	39	=	326365	3754476
Level	40	=	350177	4104653
Level	41	=	375726	4480379
Level	42	=	403139	4883518
Level	43	=	432553	5316071
Level	44	=	464113	5780184
Level	45	=	497975	6278159
Level	46	=	534308	6812467
Level	47	=	573292	7385759
Level	48	=	615120	8000879
Level	49	=	660000	8660879
Level	50	=	1000000	9660879
Level	51	=	1333333	10994212
Level	52	=	1666666	12660878
Level	53	=	1999999	14660877
Level	54	=	2333332	16994209
Level	55	=	2666666	19660875
Level	56	=	3000000	22660875
Level	57	=	3500000	26160875
Level	58	=	4000000	30160875
Level	59	=	4500000	34660875
Level	60	=	5000000	39660875
Level	61	=	5500000	45160875
Level	62	=	6000000	51160875
Level	63	=	6500000	57660875
Level	64	=	7000000	64660875
Level	65	=	7500000	72160875
Level	66	=	8000000	80160875
Level	67	=	8500000	88660875
Level	68	=	9000000	97660875
Level	69	=	9700000	107360875
Level	70	=	10500000	117860875
Level	71	=	11500000	129360875
Level	72	=	21488640	150849515
Level	73	=	22028571	172878086
Level	74	=	22428571	195306657
Level	75	=	23028571	218335228
Level	76	=	23528571	241863799
Level	77	=	24028571	265892370
Level	78	=	24528571	290420941
Level	79	=	25028571	315449512
Level	80	=	32428571	347878083
Level	81	=	33428571	381306654
Level	82	=	34428571	415735225
Level	83	=	45428571	461163796
Level	84	=	50028571	511192367
Level	85	=	65028571	576220938
Level	86	=	85028571	661249509
Level	87	=	118143134	779392643
Level	88	=	120303134	899695777
Level	89	=	126258660	1025954437
Level	90	=	132214186	1158168623
Level	91	=	138169712	1296338335
Level	92	=	144125238	1440463573
Level	93	=	150080764	1590544337
Level	94	=	156036290	1746580627
Level	95	=	161991816	1908572443
Level	96	=	167947342	2076519785
Level	97	=	173902868	2250422653
Level	98	=	179858394	2430281047
Level	99	=	185813920	2616094967
Level	100	=	191769446	2807864413
