armor price by gpt
1lvl: 1,000deny
11lvl: 14,000deny
21lvl: 27,000deny
31lvl: 40,000deny
35lvl: 47,000deny
41lvl: 54,000deny
45lvl: 61,000deny
51lvl: 68,000deny
55lvl: 75,000deny
61lvl: 81,000deny
64lvl: 88,000deny 
->dural : 45000
-> str : 8
-> int : 1
-> dex : 1
-> weight : 38
-> bang :46
-> hp : 500

71lvl: 100,000deny
75lvl: 108,000deny
81lvl: 116,000deny
85lvl: 124,000deny
-------------------
sheild

71lvl(bronz pabis)
-> str : 7
-> int : 1
-> dex : 1
-> weight : 7
-> bang : 8
-> bang rate : 20

-------------------
exp per level

lv72 exp: 129384760
lv73 exp: 150873400
lv80 exp: 334836024
lv82 exp: 400190776
lv87 exp: 661021968
lv89 exp: 899308236
lv90 exp: 1025566896
-------------------
need
28일때 150000 

49일때 660000
50일때 1000000

56일때 3000000


total
72일때 129384760
73일때 150873400
80일때 334836024
82일때 400190776

87일때 661021968

89일때 899308236

90일때 1,025,566,896 


hoachin 25

==================================================================
final lv fix(exp)
lv	max exp	total exp		
Level	1	=	74	74
Level	2	=	105	179
Level	3	=	150	329
Level	4	=	214	543
Level	5	=	305	848
Level	6	=	436	1284
Level	7	=	623	1907
Level	8	=	890	2797
Level	9	=	1272	4069
Level	10	=	1817	5886
Level	11	=	2595	8481
Level	12	=	3707	12188
Level	13	=	5296	17484
Level	14	=	7566	25050
Level	15	=	10809	35859
Level	16	=	15441	51300
Level	17	=	22059	73359
Level	18	=	31513	104872
Level	19	=	45018	149890
Level	20	=	64312	214202
Level	21	=	91874	306076
Level	22	=	98577	404653
Level	23	=	105769	510422
Level	24	=	113486	623908
Level	25	=	121766	745674
Level	26	=	130650	876324
Level	27	=	140182	1016506
Level	28	=	150410	1166916
Level	29	=	161384	1328300
Level	30	=	173159	1501459
Level	31	=	185793	1687252
Level	32	=	199349	1886601
Level	33	=	213894	2100495
Level	34	=	229500	2329995
Level	35	=	246245	2576240
Level	36	=	264211	2840451
Level	37	=	283488	3123939
Level	38	=	304172	3428111
Level	39	=	326365	3754476
Level	40	=	350177	4104653
Level	41	=	375726	4480379
Level	42	=	403139	4883518
Level	43	=	432553	5316071
Level	44	=	464113	5780184
Level	45	=	497975	6278159
Level	46	=	534308	6812467
Level	47	=	573292	7385759
Level	48	=	615120	8000879
Level	49	=	660000	8660879
Level	50	=	1000000	9660879
Level	51	=	1333333	10994212
Level	52	=	1666666	12660878
Level	53	=	1999999	14660877
Level	54	=	2333332	16994209
Level	55	=	2666666	19660875
Level	56	=	3000000	22660875
Level	57	=	3500000	26160875
Level	58	=	4000000	30160875
Level	59	=	4500000	34660875
Level	60	=	5000000	39660875
Level	61	=	5500000	45160875
Level	62	=	6000000	51160875
Level	63	=	6500000	57660875
Level	64	=	7000000	64660875
Level	65	=	7500000	72160875
Level	66	=	8000000	80160875
Level	67	=	8500000	88660875
Level	68	=	9000000	97660875
Level	69	=	9700000	107360875
Level	70	=	10500000	117860875
Level	71	=	11500000	129360875
Level	72	=	21488640	150849515
Level	73	=	22028571	172878086
Level	74	=	22428571	195306657
Level	75	=	23028571	218335228
Level	76	=	23528571	241863799
Level	77	=	24028571	265892370
Level	78	=	24528571	290420941
Level	79	=	25028571	315449512
Level	80	=	32428571	347878083
Level	81	=	33428571	381306654
Level	82	=	34428571	415735225
Level	83	=	45428571	461163796
Level	84	=	50028571	511192367
Level	85	=	65028571	576220938
Level	86	=	85028571	661249509
Level	87	=	118143134	779392643
Level	88	=	120303134	899695777
Level	89	=	126258660	1025954437
Level	90	=	132214186	1158168623
Level	91	=	138169712	1296338335
Level	92	=	144125238	1440463573
Level	93	=	150080764	1590544337
Level	94	=	156036290	1746580627
Level	95	=	161991816	1908572443
Level	96	=	167947342	2076519785
Level	97	=	173902868	2250422653
Level	98	=	179858394	2430281047
Level	99	=	185813920	2616094967
Level	100	=	191769446	2807864413

==================================================================


추정(total need)
1	73.3078161048	73.3078161048
2	104.7254515783	178.0332676832
3	149.6077879691	327.6410556523
4	213.7254113844	541.3664670366
5	305.3220162634	846.6884833001
6	436.1743089477	1282.8627922478
7	623.1061556396	1905.9689478874
8	890.1516509137	2796.1205988011
9	1271.645215591	4067.7658143921
10	1816.6360222729	5884.401836665
11	2595.1943175327	8479.5961541977
12	3707.4204536182	12187.0166078159
13	5296.3149337402	17483.3315415561
14	7566.1641910575	25049.4957326136
15	10808.8059872249	35858.3017198385
16	15441.1514103213	51299.4531301598
17	22058.7877290305	73358.2408591903
18	31512.553898615	104870.794757805
19	45017.9341408785	149888.728898684
20	64311.3344869693	214200.063385653
21	91873.3349813847	306073.398367038
22	98576.5396795973	404649.938046635
23	105768.81939871	510418.757445345
24	113485.857723937	623904.615169282
25	121765.941763881	745670.556933163
26	130650.152107169	876320.709040332
27	140182.566638593	1016503.27567893
28	150410.479225958	1166913.75490488
29	161384.634362616	1328298.3892675
30	173159.478929845	1501457.86819734
31	185793.43232816	1687251.30052551
32	199349.176317769	1886600.47684327
33	213893.966006189	2100494.44284946
34	229499.963525954	2329994.40637542
35	246244.596057891	2576239.00243331
36	264210.939976278	2840449.94240959
37	283488.133021757	3123938.07543134
38	304171.81654695	3428109.89197829
39	326364.610028916	3754474.50200721
40	350176.6202027	4104651.12220991
41	375725.987341953	4480377.10955186
42	403139.471396945	4883516.58094881
43	432553.080898009	5316069.66184682
44	464112.747744645	5780182.40959146
45	497975.05122816	6278157.46081962
46	534307.99488	6812465.45569962
47	573291.84	7385757.29569962
48	615120	8000877.29569962
49	660000	8660877.29569962

50	1000000	9660877.29569962(주어진 값)
51	1333333	10994210.2956996
52	1666666	12660876.2956996
53	1999999	14660875.2956996
54	2333332	16994207.2956996
55	2666666	19660873.2956996
56	3,000,000	22660873.2956996(주어진 값)
 

 7,309,937

57: 4,000,000
58: 5,000,000
59: 6,500,000
60: 8,000,000
61: 10,000,000
62: 12,500,000
63: 15,000,000
64: 18,000,000
65: 21,000,000
66: 24,000,000
67: 28,000,000
68: 32,000,000
69: 36,000,000
70: 40,000,000

71: 125,000,000 (가파른 증가)
72: 129,384,760 (주어진 값) - 전체
73: 150,873,400 (주어진 값) - 전체
74: 175,000,000
75: 200,000,000
76: 225,000,000
77: 250,000,000
78: 275,000,000
79: 300,000,000
80: 334,836,024 (주어진 값) - 전체
81: 370,000,000
82: 400,190,776 (주어진 값) - 전체
83: 435,000,000
84: 470,000,000
85: 505,000,000
86: 541,000,000
87: 661,021,968 (주어진 값) - 전체
88: 780,000,000
89: 899,308,236 (주어진 값) - 전체
90: 1,025,566,896 (주어진 값) - 전체


-------------------
/*
1	20
2	40
3	60
4	80
5	100
6	120
7	140
8	160
9	180
10	200
11	
12	
13	
14	
15	
16	
17	
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	150,000
29	
30	
31	
32	
33	
34	
35	
36	
37	
38	500,000
39	
40	
41	
42	
43	
44	
45	
46	
47	
48	
49	660,000
50	1,000,000
51	1,100,000
52	1,200,000
53	1,300,000
54	1,400,000
55	1,500,000
56	3,000,000
57	
58	
59	
60	
61	
62	
63	
64	
